Date,Name,Category,Bought For,Sold For,Profit,Profit Margin,ROI,Fees,Net Profit
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
21/06/2026,Chainsaw,Chainsaw,100,150,,,,5,
